Date,Close
2020-11-09,59.23
2020-11-10,59.69
2020-11-11,58.58
2020-11-12,62.14
2020-11-13,64.4
2020-11-14,62.67
2020-11-15,66.23
2020-11-16,73.48
2020-11-17,75.47
2020-11-18,74.15
2020-11-19,81.43
2020-11-20,82.05
2020-11-21,84.95
2020-11-22,83.93
2020-11-23,89.49
2020-11-24,86.12
2020-11-25,77.24
2020-11-26,70.94
2020-11-27,69.05
2020-11-28,74.56
2020-11-29,79.79
2020-11-30,88.3
2020-12-01,84.78
2020-12-02,88.1
2020-12-03,86.91
2020-12-04,80.66
2020-12-05,83.64
2020-12-06,83.33
2020-12-07,83.14
2020-12-08,76.63
2020-12-09,76.68
2020-12-10,72.03
2020-12-11,74.8
2020-12-12,75.83
2020-12-13,82.06
2020-12-14,83.68
2020-12-15,79.73
2020-12-16,91.37
2020-12-17,107.98
2020-12-18,108.24
2020-12-19,117.48
2020-12-20,115.59
2020-12-21,103.95
2020-12-22,113.84
2020-12-23,102.67
2020-12-24,108.79
2020-12-25,131.24
2020-12-26,133.64
2020-12-27,129.6
2020-12-28,126.08
2020-12-29,130.02
2020-12-30,127.01
2020-12-31,132.33
2021-01-01,125.4
2021-01-02,135.78
2021-01-03,164.71
2021-01-04,149.58
2021-01-05,157.04
2021-01-06,170.5
2021-01-07,158.38
2021-01-08,171.49
2021-01-09,179.08
2021-01-10,143.22
2021-01-11,140.8
2021-01-12,133.72
2021-01-13,145.02
2021-01-14,150
2021-01-15,143.67
2021-01-16,143.98
2021-01-17,139.7
2021-01-18,158.59
2021-01-19,148.74
2021-01-20,144.77
2021-01-21,134.98
2021-01-22,137.16
2021-01-23,140.72
2021-01-24,147.01
2021-01-25,134.89
2021-01-26,131.83
2021-01-27,127.36
2021-01-28,136.2
2021-01-29,130.15
2021-01-30,131.59
2021-01-31,130.57
2021-02-01,133.23
2021-02-02,153.44
2021-02-03,149.99
2021-02-04,148.08
2021-02-05,161.7
2021-02-06,152.22
2021-02-07,148.49
